AveragePrice,Date,Region,Type,Year
0.9,01/14,WestTexNewMexico,conventional,2018
0.88,01/07,WestTexNewMexico,conventional,2018
1.83,12/27,Albany,organic,2015
1.89,12/20,Albany,organic,2015
1.85,12/13,Albany,organic,2015
1.84,12/06,Albany,organic,2015
1.94,11/29,Albany,organic,2015
1.94,11/22,Albany,organic,2015
1.89,11/15,Albany,organic,2015
1.88,11/08,Albany,organic,2015
1.88,11/01,Albany,organic,2015
1.83,10/25,Albany,organic,2015
1.97,10/18,Albany,organic,2015
1.9,10/11,Albany,organic,2015
1.98,10/04,Albany,organic,2015
1.98,09/27,Albany,organic,2015
1.98,09/20,Albany,organic,2015
1.99,09/13,Albany,organic,2015
1.86,09/06,Albany,organic,2015
1.88,08/30,Albany,organic,2015
1.87,08/23,Albany,organic,2015
2.0,08/16,Albany,organic,2015
1.88,08/09,Albany,organic,2015
2.0,08/02,Albany,organic,2015
2.01,07/26,Albany,organic,2015
2.08,07/19,Albany,organic,2015
2.01,07/12,Albany,organic,2015
2.04,07/05,Albany,organic,2015
2.02,06/28,Albany,organic,2015
2.09,06/21,Albany,organic,2015
2.03,06/14,Albany,organic,2015
1.93,06/07,Albany,organic,2015
1.9,05/31,Albany,organic,2015
1.93,05/24,Albany,organic,2015
1.87,05/17,Albany,organic,2015
1.98,05/10,Albany,organic,2015
2.03,05/03,Albany,organic,2015
1.9,04/26,Albany,organic,2015
1.96,04/19,Albany,organic,2015
1.76,04/12,Albany,organic,2015
1.93,04/05,Albany,organic,2015
1.93,03/29,Albany,organic,2015
1.86,03/22,Albany,organic,2015
1.79,03/15,Albany,organic,2015
1.79,03/08,Albany,organic,2015
1.76,03/01,Albany,organic,2015
1.82,02/22,Albany,organic,2015
1.81,02/15,Albany,organic,2015
1.59,02/08,Albany,organic,2015
1.83,02/01,Albany,organic,2015
1.89,01/25,Albany,organic,2015
1.93,01/18,Albany,organic,2015
1.77,01/11,Albany,organic,2015
1.79,01/04,Albany,organic,2015
1.84,12/27,Atlanta,organic,2015
1.89,12/20,Atlanta,organic,2015
1.78,12/13,Atlanta,organic,2015
1.48,12/06,Atlanta,organic,2015
1.37,11/29,Atlanta,organic,2015
1.88,11/22,Atlanta,organic,2015
1.85,11/15,Atlanta,organic,2015
1.74,11/08,Atlanta,organic,2015
1.79,11/01,Atlanta,organic,2015
1.87,10/25,Atlanta,organic,2015
1.94,10/18,Atlanta,organic,2015
1.75,10/11,Atlanta,organic,2015
1.79,10/04,Atlanta,organic,2015
2.01,09/27,Atlanta,organic,2015
2.04,09/20,Atlanta,organic,2015
2.0,09/13,Atlanta,organic,2015
1.98,09/06,Atlanta,organic,2015
1.53,08/30,Atlanta,organic,2015
1.52,08/23,Atlanta,organic,2015
1.83,08/16,Atlanta,organic,2015
2.01,08/09,Atlanta,organic,2015
1.8,08/02,Atlanta,organic,2015
1.56,07/26,Atlanta,organic,2015
1.29,07/19,Atlanta,organic,2015
1.6,07/12,Atlanta,organic,2015
1.5,07/05,Atlanta,organic,2015
1.39,06/28,Atlanta,organic,2015
1.83,06/21,Atlanta,organic,2015
1.85,06/14,Atlanta,organic,2015
1.74,06/07,Atlanta,organic,2015
1.84,05/31,Atlanta,organic,2015
1.74,05/24,Atlanta,organic,2015
1.78,05/17,Atlanta,organic,2015
1.82,05/10,Atlanta,organic,2015
2.03,05/03,Atlanta,organic,2015
2.01,04/26,Atlanta,organic,2015
1.63,04/19,Atlanta,organic,2015
